velikost	forma	ico	nazev	obor_podnikani	status	platce_dph	rok_vzniku	obec	psc	statutari	nace_kody	okres	datum_vzniku
neuv.	s.r.o.	21271836	GeoZdraví s.r.o.	Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Velkoobchod; Nespecializovaný maloobchod	aktivní	ano	2024	Jablonec nad Nisou	46801	Stanislav Bažacký	772;46;471	Jablonec nad Nisou	2024-02-20
neuv.	s.r.o.	21177996	Liritec s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí; Ostatní zpracovatelský průmysl; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Inženýrské činnosti a související technické poradenství; Nespecializovaný maloobchod; Výroba měřicích, zkušebních a časoměrných přístrojů; Opravy a údržba kovových výrobků, strojů a zařízení; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd; Příprava staveniště; Skladování a podpůrné činnosti pro dopravu; Velkoobchod; Úklidové činnosti; Počítačové programování, poradenství a související činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba chemických látek a chemických výrobků; Výroba strojů a zařízení j. n.; Opravy a údržba motorových vozidel, kromě motocyklů; Výroba neelektrických spotřebičů převážně pro domácnost; Ostatní vzdělávání; Činnosti řízení podniků; Opravy, údržba a instalace strojů a zařízení; Obchodování s cennými papíry a komoditami na burzách; Výroba motorových vozidel	aktivní	ne	2024	Jablonec nad Nisou	46604	Filip Svoboda	6820;32;772;7112;471;265;331;71209;7219;43120;52;46;812;620;00;20;28;45200;27520;855;70100;33;66120;29100	Jablonec nad Nisou	2024-01-25
neuv.	s.r.o.	19952155	TERMIL průmyslové stavby s.r.o.	Sběr odpadů, kromě nebezpečných; Příprava staveniště; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Úklidové činnosti; Výstavba bytových a nebytových budov; Silniční nákladní doprava; Velkoobchod; Inženýrské činnosti a související technické poradenství; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání	aktivní	ano	2023	Jablonec nad Nisou	46605	Libor Milota; Ondřej Brezar	38110;43120;471;6820;812;4120;49410;46;7112;772;00;855	Jablonec nad Nisou	2023-11-23
neuv.	s.r.o.	19951469	TERMIL občanské stavby s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výstavba bytových a nebytových budov; Nespecializovaný maloobchod; Úklidové činnosti; Velkoobchod; Architektonické činnosti; Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Sběr odpadů, kromě nebezpečných; Silniční nákladní doprava	aktivní	ano	2023	Jablonec nad Nisou	46605	Libor Milota; Jan Žofčin	00;855;772;4120;471;812;46;71110;43120;6820;38110;49410	Jablonec nad Nisou	2023-11-23
neuv.	s.r.o.	19950764	TERMIL instalace s.r.o.	Příprava staveniště; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výstavba bytových a nebytových budov; Velkoobchod; Architektonické činnosti; Úklidové činnosti; Ostatní vzdělávání; Silniční nákladní doprava; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Sběr odpadů, kromě nebezpečných	aktivní	ne	2023	Jablonec nad Nisou	46605	Libor Milota; Marek Hejcman	43120;471;6820;4120;46;71110;812;855;49410;772;38110	Jablonec nad Nisou	2023-11-23
neuv.	s.r.o.	19944918	TERMIL holding s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2023	Jablonec nad Nisou	46605	Libor Milota	00	Jablonec nad Nisou	2023-11-21
neuv.	s.r.o.	19869444	PAVCO NG s.r.o.	Výroba pekařských, cukrářských a jiných moučných výrobků; Nespecializovaný maloobchod; Velkoobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Destilace, rektifikace a míchaní lihovin	aktivní	ne	2023	Jablonec nad Nisou	46604	Petra Ulbrych Pavienská	107;471;46;56100;11010	Jablonec nad Nisou	2023-10-30
neuv.	s.r.o.	19866518	OK H s.r.o.	Výroba elektrických zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Inženýrské činnosti a související technické poradenství; Nespecializovaný maloobchod; Výroba strojů a zařízení j. n.; Výroba elektronických součástek a desek; Velkoobchod	aktivní	ano	2023	Jablonec nad Nisou	46601	Ondřej Král	27;00;7112;471;28;261;46	Jablonec nad Nisou	2023-10-27
neuv.	s.r.o.	19866429	Qlma nutrition s.r.o.	Velkoobchod; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2023	Jablonec nad Nisou	46601	Martin Klimunda; Albert Šíma	46;471;00	Jablonec nad Nisou	2023-10-26
neuv.	s.r.o.	19813180	Villa Weber s.r.o.	Pronájem a správa vlastních nebo pronajatých nemovitostí; Nespecializovaný maloobchod; Poskytování ubytování; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Velkoobchod	aktivní	ano	2023	Jablonec nad Nisou	46601	Roman Weber	6820;471;55;772;46	Jablonec nad Nisou	2023-10-11
neuv.	s.r.o.	19776411	DHTAK s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výzkum a vývoj v oblasti přírodních a technických věd; Počítačové programování, poradenství a související činnosti; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Velkoobchod; Nespecializovaný maloobchod	aktivní	ano	2023	Jablonec nad Nisou	46804	Roman Kolombo	00;7219;620;95220;46;471	Jablonec nad Nisou	2023-10-03
neuv.	s.r.o.	19774931	Siddha Yoga s.r.o.	Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti v oblasti zábavy a rekreace j. n.; Poskytování osobních služeb; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Poskytování ubytování; Nespecializovaný maloobchod; Ostatní vzdělávání; Činnosti v oblasti sportu j. n.; Administrativní a kancelářské činnosti; Velkoobchod; Poskytování osobních služeb	aktivní	ano	2023	Jablonec nad Nisou	46601	Tereza Smetáková	772;93290;96040;00;55;471;855;93190;82110;46;96090	Jablonec nad Nisou	2023-10-02
neuv.	s.r.o.	19761171	TRANSLOG Spare Parts, s.r.o.	Velkoobchod; Výroba pryžových a plastových výrobků; Příprava staveniště; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba strojů a zařízení j. n.; Opravy a údržba motorových vozidel, kromě motocyklů; Opravy a údržba kovových výrobků, strojů a zařízení; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Výroba konstrukčních kovových výrobků	aktivní	ne	2023	Jablonec nad Nisou	46604	Tomáš Drbohlav	46;22;43120;471;52;00;256;28;45200;331;772;251	Jablonec nad Nisou	2023-09-26
neuv.	s.r.o.	19689349	Rivatrans Invest s.r.o.	Činnosti reklamních agentur; Úklidové činnosti; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Počítačové programování, poradenství a související činnosti	aktivní	ne	2023	Jablonec nad Nisou	46601		73110;812;471;00;46900;43120;6820;620	Jablonec nad Nisou	2023-09-04
neuv.	s.r.o.	19689322	WaiWai Czech s.r.o.	Příprava staveniště; Pronájem a správa vlastních nebo pronajatých nemovitostí; Počítačové programování, poradenství a související činnosti; Inženýrské činnosti a související technické poradenství; Nespecializovaný maloobchod; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ne	2023	Jablonec nad Nisou	46601		43120;6820;620;7112;471;00;46900;772	Jablonec nad Nisou	2023-09-04
neuv.	s.r.o.	19597207	PRAKTIK NOV s.r.o.	Všeobecná ambulantní zdravotní péče	aktivní	ne	2023	Jablonec nad Nisou	46602	Anna Novotná	86210	Jablonec nad Nisou	2023-08-07
neuv.	s.r.o.	19568690	M8 tec s.r.o.	Výroba pryžových a plastových výrobků; Výroba strojů a zařízení j. n.; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba kovových výrobků, kromě strojů a zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Opravy a údržba motorových vozidel, kromě motocyklů	aktivní	ano	2023	Jablonec nad Nisou	46605	David Márinka	22;28;256;25;00;45200	Jablonec nad Nisou	2023-07-28
neuv.	s.r.o.	19561270	KlimaSun s.r.o.	Těžba a dobývání ostatních nerostných surovin; Účetnické a auditorské činnosti; daňové poradenství; Instalace průmyslových strojů a zařízení; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Živočišná výroba; Truhlářské práce; Výroba potravinářských výrobků	aktivní	ne	2023	Jablonec nad Nisou	46606	Radka Fujanová; Petr Mikez	08;69200;33200;00;01493;43320;10	Jablonec nad Nisou	2023-07-26
neuv.	s.r.o.	19480113	RMC alfa s.r.o.	Činnosti v oblasti zábavy a rekreace j. n.; Nespecializovaný maloobchod; Činnosti v oblasti sportu j. n.; Činnosti cestovních agentur; Nespecializovaný velkoobchod; Poskytování ubytování; Ostatní vzdělávání; Umělecká tvorba a činnosti v oblasti scénických umění; Administrativní a kancelářské činnosti; Činnosti reklamních agentur; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	2023	Jablonec nad Nisou	46601	Radek Matějček	93290;471;93190;79110;46900;55;855;90020;82110;73110;00;6820	Jablonec nad Nisou	2023-06-27
neuv.	s.r.o.	19415605	VB parfemy dextropositio, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Výroba oděvů; Výroba obuvi; Sklenářské, malířské a natěračské práce; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Skladování a podpůrné činnosti pro dopravu; Poskytování ubytování; Počítačové programování, poradenství a související činnosti; Specializované návrhářské činnosti; Fotografické činnosti; Překladatelské a tlumočnické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Činnosti cestovních agentur; Úklidové činnosti; Administrativní a kancelářské činnosti; Ostatní vzdělávání; Umělecká tvorba a činnosti v oblasti scénických umění; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Poskytování osobních služeb; Poskytování osobních služeb	aktivní	ne	2023	Jablonec nad Nisou	46602	Veronika Bilkovičová	00;016;14;1520;43341;45200;46900;471;47790;52;55;620;74100;74200;74300;772;79110;812;82110;855;90020;95220;96010;96090	Jablonec nad Nisou	2023-06-06
neuv.	s.r.o.	19304749	WebAsist s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Inženýrské činnosti a související technické poradenství; Činnosti reklamních agentur	aktivní	ne	2023	Jablonec nad Nisou	46606	Miroslav Kopecký	00;46900;471;620;7112;73110	Jablonec nad Nisou	2023-05-03
neuv.	s.r.o.	19241976	Libeng s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba konstrukčních kovových výrobků; Výroba strojů a zařízení j. n.; Opravy, údržba a instalace strojů a zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství; Technické zkoušky a analýzy; Výzkum a vývoj v oblasti přírodních a technických věd	aktivní	ne	2023	Jablonec nad Nisou	46604	Vratislav Malý	00;251;28;33;46900;471;7112;71209;7219	Jablonec nad Nisou	2023-04-12
neuv.	s.r.o.	19223421	K-Village s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Administrativní a kancelářské činnosti	aktivní	ne	2023	Jablonec nad Nisou	46801	Kateřina Švejdová	00;46900;471;6820;82110	Jablonec nad Nisou	2023-04-05
neuv.	s.r.o.	18384323	M F C  S E R V I C E, spol. s r.o.	Účetnické a auditorské činnosti; daňové poradenství	aktivní	ne	1991	Jablonec nad Nisou	46604	Josef Vorel; Lubomír Vorel	69200	Jablonec nad Nisou	1991-05-31
neuv.	s.r.o.	18383530	GESCO,spol.s r.o.	Výroba bižuterie a příbuzných výrobků; Zprostředkování v oblasti velkoobchodu za provizi	aktivní	ne	1991	Jablonec nad Nisou	46605	Milan Houdek	32130;461	Jablonec nad Nisou	1991-06-25
neuv.	s.r.o.	18383076	M o D u s  spol. s r.o.	Ostatní odborné, vědecké a technické činnosti	aktivní	ne	1991	Jablonec nad Nisou	46601		74	Jablonec nad Nisou	1991-05-07
neuv.	s.r.o.	17996325	Poké Education s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Ostatní vzdělávání; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ano	2023	Jablonec nad Nisou	46801	Jan Solfronk	00;46900;471;855;90020	Jablonec nad Nisou	2023-01-31
neuv.	s.r.o.	17982065	PW Advisory Consulting s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba oděvů; Počítačové programování, poradenství a související činnosti; Činnosti řízení podniků	aktivní	ne	2023	Jablonec nad Nisou	46602	Patrik Walas	00;14;620;70100	Jablonec nad Nisou	2023-01-26
neuv.	s.r.o.	17962005	CreaLogic s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba pryžových a plastových výrobků; Výroba ostatních nekovových minerálních výrobků; Výroba konstrukčních kovových výrobků; Výroba strojů a zařízení j. n.; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství	aktivní	ano	2023	Jablonec nad Nisou	46604	Michal Gürtler	00;22;23;251;28;46900;471;68203;68204;7112	Jablonec nad Nisou	2023-01-23
neuv.	s.r.o.	17956561	JIKO CZ s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona	aktivní	ne	2023	Jablonec nad Nisou	46606	Jiří Kojzar	00	Jablonec nad Nisou	2023-01-19
neuv.	s.r.o.	17929598	Nautilus Energie, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba strojů a zařízení j. n.; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Počítačové programování, poradenství a související činnosti; Činnosti webových vyhledávacích portálů; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Činnosti reklamních agentur; Specializované návrhářské činnosti; Fotografické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Administrativní a kancelářské činnosti; Ostatní vzdělávání	aktivní	ano	2023	Jablonec nad Nisou	46801	Tomáš Kůla; Martin Kůla; Karel Kůla	00;28;43120;46900;471;55;620;63910;6820;7112;73110;74100;74200;772;812;82110;855	Jablonec nad Nisou	2023-01-12
neuv.	s.r.o.	17858275	Účto & Daně Berendová s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba potravinářských výrobků; Destilace, rektifikace a míchaní lihovin; Ostatní zpracovatelský průmysl; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování stravování v restauracích, u stánků a mobilních zařízení; Účetnické a auditorské činnosti; daňové poradenství; Fotografické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Ostatní vzdělávání; Umělecká tvorba a činnosti v oblasti scénických umění; Činnosti v oblasti sportu j. n.	aktivní	ne	2022	Jablonec nad Nisou	46601	Jana Berendová	00;10;11010;32;46900;471;56100;69200;74200;772;855;90020;93190	Jablonec nad Nisou	2022-12-21
neuv.	s.r.o.	17857074	HGW s.r.o.	Výroba pryžových a plastových výrobků; Opravy, údržba a instalace strojů a zařízení; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství; Činnosti cestovních agentur	aktivní	ano	2022	Jablonec nad Nisou	46602	Ján Bobek	22;33;46900;471;7112;79110	Jablonec nad Nisou	2022-12-21
neuv.	s.r.o.	17836794	Schindler Interiéry s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba skla a skleněných výrobků; Výroba nožířských výrobků, nástrojů a železářských výrobků; Výroba nábytku; Ostatní zpracovatelský průmysl; Výroba lékařských a dentálních nástrojů a potřeb; Příprava staveniště; Kompletační a dokončovací stavební práce; Truhlářské práce; Sklenářské, malířské a natěračské práce; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Inženýrské činnosti a související technické poradenství; Činnosti reklamních agentur; Specializované návrhářské činnosti	aktivní	ne	2022	Jablonec nad Nisou	46601	Jiří Schindler	00;16100;231;256;310;32;32500;43120;433;43320;43342;471;6820;7112;73110;74100	Jablonec nad Nisou	2022-12-15
neuv.	s.r.o.	17790531	ATREA Facility s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí	aktivní	ano	2022	Jablonec nad Nisou	46605	Daniel Morávek; Petr Morávek; Taťána Morávková	00;6820	Jablonec nad Nisou	2022-12-01
neuv.	s.r.o.	17736820	GREPA Property s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Činnosti reklamních agentur; Specializované návrhářské činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Úklidové činnosti; Administrativní a kancelářské činnosti	aktivní	ano	2022	Jablonec nad Nisou	46601	Milan Kroupa; Marcela Kroupová	00;46900;471;55;6820;73110;74100;772;812;82110	Jablonec nad Nisou	2022-11-14
neuv.	s.r.o.	17733821	Matějíčkovi finanční s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Činnosti řízení podniků; Činnosti reklamních agentur; Překladatelské a tlumočnické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti; Umělecká tvorba a činnosti v oblasti scénických umění	aktivní	ne	2022	Jablonec nad Nisou	46602	Jan Matějíček	00;46900;471;620;6820;70100;73110;74300;772;82110;90020	Jablonec nad Nisou	2022-11-11
neuv.	s.r.o.	17730929	EverSky JKR, s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Výzkum a vývoj v oblasti přírodních a technických věd	aktivní	ano	2022	Jablonec nad Nisou	46604	Helena Krutská	00;6820;7219	Jablonec nad Nisou	2022-12-01
neuv.	s.r.o.	17677149	Scolopax iserina s.r.o.	Architektonické činnosti; Činnosti reklamních agentur; Administrativní a kancelářské činnosti; Příprava staveniště; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výstavba bytových a nebytových budov	aktivní	ne	2022	Jablonec nad Nisou	46606	Pavel Sluka	71110;73110;82110;43120;46900;471;55;6820;68310;00;4120	Jablonec nad Nisou	2022-10-25
neuv.	s.r.o.	17547563	AD Butchery Invest, s.r.o.	Výroba potravinářských výrobků; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Skladování a podpůrné činnosti pro dopravu	aktivní	ne	2022	Jablonec nad Nisou	46605	Daniel Salamatin	10;46900;471;52	Jablonec nad Nisou	2022-09-19
neuv.	s.r.o.	17343968	Réza trip s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Pronájem a správa vlastních nebo pronajatých nemovitostí; Překladatelské a tlumočnické činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost	aktivní	ano	2022	Jablonec nad Nisou	46602	Michal Rössler	00;6820;74300;772	Jablonec nad Nisou	2022-07-20
neuv.	s.r.o.	17205352	OnBe team s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Reklamní činnosti; Činnosti v oblasti sportu j. n.; Činnosti v oblasti zábavy a rekreace j. n.	aktivní	ano	2022	Jablonec nad Nisou	46801	Ondřej Berndt	46900;471;731;93190;93290	Jablonec nad Nisou	2022-06-07
neuv.	s.r.o.	17173884	ATREA Invest s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Pronájem a správa vlastních nebo pronajatých nemovitostí; Pronájem a správa vlastních nebo pronajatých nemovitostí; Reklamní činnosti; Administrativní a kancelářské činnosti	aktivní	ne	2022	Jablonec nad Nisou	46605	Petr Morávek; Daniel Morávek	00;46900;471;68203;68204;731;82110	Jablonec nad Nisou	2022-05-24
neuv.	s.r.o.	17140323	MT Trávníkáři s.r.o.	Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Maloobchod s použitým zbožím; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Opravy a údržba přístrojů a zařízení převážně pro domácnost, dům a zahradu; Podpůrné činnosti pro zemědělství a posklizňové činnosti; Výroba elektronických součástek a desek; Výroba elektrických zařízení	aktivní	ano	2022	Jablonec nad Nisou	46804	Michaela Tesařová; Miroslav Tesař	46900;471;47790;772;95220;016;261;27	Jablonec nad Nisou	2022-05-12
neuv.	s.r.o.	17108021	CABMANIAC s.r.o.	Výroba papíru a výrobků z papíru; Výroba obuvi; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Výroba oděvů; Výroba nožířských výrobků, nástrojů a železářských výrobků; Opravy a údržba motorových vozidel, kromě motocyklů; Výroba chemických látek a chemických výrobků; Výroba potravinářských výrobků; Výroba kovových výrobků, kromě strojů a zařízení; Pilařská výroba a impregnace dřeva; zpracování a konečná úprava dřeva; Výroba pryžových a plastových výrobků; Podpůrné činnosti pro zemědělství a posklizňové činnosti	aktivní	ano	2022	Jablonec nad Nisou	46604	Josef Matura; Petra Maturová	17;1520;00;14;256;45200;20;10;25;16100;22;016	Jablonec nad Nisou	2022-05-04
neuv.	s.r.o.	17078601	Energie TS s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Opravy, údržba a instalace strojů a zařízení; Příprava staveniště; Instalace rozvodů vody, odpadu, topení a klimatizace; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Inženýrské činnosti a související technické poradenství	aktivní	ano	2022	Jablonec nad Nisou	46602	Václav Skalka	00;33;43120;43220;46900;471;7112	Jablonec nad Nisou	2022-04-28
neuv.	s.r.o.	14868687	LINDEN, s.r.o., v likvidaci	Ostatní odborné, vědecké a technické činnosti	aktivní	ne	1991	Jablonec nad Nisou	46601	Filip Vaníček; Jan Trajbold	74	Jablonec nad Nisou	1991-03-06
neuv.	s.r.o.	14865297	ERFOB Bohemia s.r.o. v likvidaci	Zprostředkování v oblasti velkoobchodu za provizi; Počítačové programování, poradenství a související činnosti; Finanční leasing; Účetnické a auditorské činnosti; daňové poradenství; Činnosti v oblasti zábavy a rekreace j. n.	aktivní	ne	1991	Jablonec nad Nisou	46601	Pavel Ráliš; Jaroslav Fapšo	461;620;64910;69200;93290	Jablonec nad Nisou	1991-01-04
neuv.	s.r.o.	14864801	WEG, společnost s ručením omezeným	Výroba lékařských a dentálních nástrojů a potřeb; Ostatní pozemní osobní doprava j. n.; Maloobchod; Činnosti knihoven, archivů, muzeí a jiných kulturních zařízení; Instalace průmyslových strojů a zařízení; Velkoobchod; Silniční nákladní doprava	aktivní	ne	1990	Jablonec nad Nisou	46601	Jiří Šimek	32500;49399;47;91020;33200;46;49410	Jablonec nad Nisou	1990-12-20
neuv.	s.r.o.	14432471	FOLK motorsport s.r.o.	Výroba skla a skleněných výrobků; Výroba brusiv a ostatních nekovových minerálních výrobků j. n.; Ostatní zpracovatelský průmysl; Výroba klenotů a příbuzných výrobků; Kompletační a dokončovací stavební práce; Ostatní specializované stavební činnosti; Opravy a údržba motorových vozidel, kromě motocyklů; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Úklidové činnosti; Umělecká tvorba a činnosti v oblasti scénických umění; Příprava staveniště; Silniční nákladní doprava; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Ostatní vzdělávání; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti; Technické zkoušky a analýzy; Poskytování osobních služeb	aktivní	ne	2022	Jablonec nad Nisou	46801	Lenka Folková	231;239;32;32120;433;439;45200;46900;471;55;6820;81290;90020;43120;49410;00;855;77290;82110;71209;96090	Jablonec nad Nisou	2022-04-21
neuv.	s.r.o.	14406381	Dekateny s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Činnosti webových vyhledávacích portálů; Inženýrské činnosti a související technické poradenství; Reklamní činnosti; Specializované návrhářské činnosti; Fotografické činnosti; Ostatní vzdělávání	aktivní	ne	2022	Jablonec nad Nisou	46605	Kateřina Stejskalová	00;46900;471;620;63910;7112;731;74100;74200;855	Jablonec nad Nisou	2022-04-01
neuv.	s.r.o.	14370727	Impact Solutions s.r.o.	Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod; Nespecializovaný maloobchod; Počítačové programování, poradenství a související činnosti; Pronájem a správa vlastních nebo pronajatých nemovitostí; Reklamní činnosti; Pronájem a leasing výrobků pro osobní potřebu a převážně pro domácnost; Administrativní a kancelářské činnosti	aktivní	ano	2022	Jablonec nad Nisou	46601	Josef Dvořák; Filip Hájek	00;46900;471;620;6820;731;772;82110	Jablonec nad Nisou	2022-03-23
neuv.	s.r.o.	14369842	Nágl reality s.r.o.	Nespecializovaný maloobchod; Poskytování ubytování; Pronájem a správa vlastních nebo pronajatých nemovitostí; Zprostředkování v oblasti nemovitostí; Reklamní činnosti; Výroba, obchod a služby neuvedené v přílohách 1 až 3 živnostenského zákona; Nespecializovaný velkoobchod	aktivní	ano	2022	Jablonec nad Nisou	46604	Lukáš Nágl	471;55;6820;68310;731;00;46900	Jablonec nad Nisou	2022-04-20
